"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
23915,"2185 Ravignani, Emilio, Dr. & Guatemala","Armenia 1525 y Gorriti",717,1504.9,"Viernes"
498500,"Figueroa Alcorta & Sarmiento","Armenia 1525 y Gorriti",1377,2610.63,"Jueves"
492921,"1471 Cucha Cucha","Armenia 1525 y Gorriti",1703,2799.81,"Miércoles"
599060,"o´higins 1327","Armenia 1525 y Gorriti",1417,3022.31,"Viernes"
16756,"Cerrito 990 y Av. Marcelo T. De Alvear","México & Lima",1147,2039.11,"Viernes"
16756,"Cerrito 990 y Av. Marcelo T. De Alvear","México & Lima",1119,2039.11,"Jueves"
339543,"2908 Salcedo & Dean Funes","México & Lima",1200,2850.16,"Jueves"
134343,"Idependencia y Bernardo de Irigoyen","México & Lima",3429,269.24,"Viernes"
93576,"Cevallos, Virrey& Yrigoyen, Hipolito Av.","1226 Ecuador & Mansilla, Lucio Norberto, General",764,2039.03,"Miércoles"
228280,"3912 Humahuaca","1226 Ecuador & Mansilla, Lucio Norberto, General",537,1532.65,"Jueves"
23915,"1413 Araoz & Gorriti CABA","Moreno & Av Paseo Colon",6789,5676.44,"Domingo"
43462,"Reconquista & Corrientes Av.","Beruti & Ecuador",1659,3004.06,"Martes"
60358,"Miguel Sanchez y Av Libertadores","Beruti & Ecuador",2826,7441.42,"Viernes"
136650,"Figueroa Alcorta & Sarmiento","Beruti & Ecuador",1121,2365.18,"Miércoles"
502854,"902 Esmeralda","Beruti & Ecuador",2242,2254.38,"Martes"
511327,"2133 Figueroa Alcorta","Beruti & Ecuador",1272,1473.67,"Sábado"
524103,"Juncal & Salguero, Jeronimo","Riobamba 1264 & Juncal",776,1827.53,"Miércoles"
538693,"Av. Sarmiento 2601","Godoy Cruz  3279 y Libertador",892,887.37,"Lunes"
463112,"Armenia 1525 y Gorriti","Godoy Cruz  3279 y Libertador",2864,2140.48,"Sábado"
522473,"3508 Carcova","Godoy Cruz  3279 y Libertador",1441,2522.33,"Sábado"
521489,"Av. Del Libertador, 3260","Godoy Cruz  3279 y Libertador",1498,699.14,"Domingo"
498500,"1981 Vidal","Godoy Cruz  3279 y Libertador",1748,3633.7,"Martes"
425918,"2300 Diaz, Cnel. Av. & French","441 Bulnes & Peron, Juan Domingo, Tte. General",3111,2542.09,"Jueves"
93576,"Avenida Martin Garcia, 295","Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera",2000,4930.43,"Jueves"
544500,"1590 Lavalle","3302 Guardia Vieja & Aguero",1428,2042.81,"Domingo"
216106,"Maza y don Bosco","3302 Guardia Vieja & Aguero",1612,1151.78,"Jueves"
436080,"Av. Sarmiento 2601","3302 Guardia Vieja & Aguero",1426,2617.39,"Domingo"
99317,"3508 Carcova","Lavalle & Acuña De Figueroa, Francisco",531,843.07,"Domingo"
216106,"3302 Guardia Vieja & Aguero","Lavalle & Acuña De Figueroa, Francisco",2752,1079.24,"Domingo"
339543,"1590 Lavalle","Cevallos, Virrey& Yrigoyen, Hipolito Av.",458,684.95,"Viernes"
68574,"Machaca Guemes 350","Cevallos, Virrey& Yrigoyen, Hipolito Av.",1408,2300.72,"Sábado"
68574,"Machaca Guemes 350","Cevallos, Virrey& Yrigoyen, Hipolito Av.",1689,2300.72,"Lunes"
93576,"519 Pasteur","Cevallos, Virrey& Yrigoyen, Hipolito Av.",393,1174.16,"Miércoles"
339543,"3024 Calvo, Carlos","Cevallos, Virrey& Yrigoyen, Hipolito Av.",1089,2206.84,"Viernes"
68574,"367 Sanchez De Thompson, Mariquita","Cevallos, Virrey& Yrigoyen, Hipolito Av.",1855,2536.7,"Domingo"
522473,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","1520 Billinghurst & Mansilla, Lucio Norberto, General",855,632.59,"Viernes"
99317,"Cerrito & Arenales","1520 Billinghurst & Mansilla, Lucio Norberto, General",1001,2702.84,"Domingo"
16756,"Suipacha & Viamonte, 709","Reconquista 76 & Cordoba Av.",311,643.95,"Miércoles"
13899,"Av. Patricias Argentinas & Estivao","Av. Patricias Argentinas & Estivao",1333,0,"Martes"
208218,"Av. Patricias Argentinas & Estivao","Av. Patricias Argentinas & Estivao",635,0,"Domingo"
208218,"Av. Patricias Argentinas & Estivao","Av. Patricias Argentinas & Estivao",1586,0,"Lunes"
13899,"Av. Patricias Argentinas & Estivao","Av. Patricias Argentinas & Estivao",1074,0,"Sábado"
492921,"1785 Espinosa","Av. Patricias Argentinas & Estivao",1259,2222.26,"Miércoles"
298977,"Delgado & Loreto, Virrey","Av. Patricias Argentinas & Estivao",2247,4068.02,"Lunes"
339543,"3024 Calvo, Carlos","Av. Patricias Argentinas & Estivao",1148,2835.35,"Lunes"
492921,"1540 Garcia, Juan Agustin","Av. Patricias Argentinas & Estivao",1889,3006.09,"Martes"
481240,"2939 Cavia","Juncal & Salguero, Jeronimo",1698,897.88,"Sábado"
213521,"Santa Fe Av. & Bullrich, Int. Av.","3082 Cabello",1451,1982.92,"Sábado"
90776,"561 Uruguay & Av. Tucuman","3082 Cabello",1178,2765.37,"Lunes"
301804,"Calcena & Avellaneda Av.","141 Jose Maria Moreno",697,2006.9,"Lunes"
301804,"Calcena & Avellaneda Av.","141 Jose Maria Moreno",1118,2006.9,"Miércoles"
181882,"Avenida Rivadavia y Fray Cayetano","141 Jose Maria Moreno",1612,2715.37,"Martes"
14488,"1019 Riglos","141 Jose Maria Moreno",881,1241.89,"Jueves"
524103,"Costa Rica & Armenia","780 Malabia & Loyola",794,1202.5,"Martes"
16756,"Marcelo T. de Alvear & Rodriguez Peña","Pres. José Evaristo Uriburu 987",267,661.13,"Miércoles"
511327,"2300 Diaz, Cnel. Av. & French","2300 Diaz, Cnel. Av. & French",2510,0,"Martes"
511327,"2300 Diaz, Cnel. Av. & French","2300 Diaz, Cnel. Av. & French",1396,0,"Jueves"
16756,"Parana & Juncal","2300 Diaz, Cnel. Av. & French",1371,1914.54,"Domingo"
522473,"Aguero & Mansilla, Lucio Norberto, General","2300 Diaz, Cnel. Av. & French",620,1050.57,"Jueves"
522473,"Aguero & Mansilla, Lucio Norberto, General","2300 Diaz, Cnel. Av. & French",629,1050.57,"Jueves"
522473,"Aguero & Mansilla, Lucio Norberto, General","2300 Diaz, Cnel. Av. & French",608,1050.57,"Jueves"
126204,"Quintino Bocayuva y Don Bosco","Ayacucho 595",1943,2839.3,"Domingo"
452193,"Costa Rica & Armenia","803 José Marmol",3195,3879.1,"Jueves"
599060,"Olleros Av. & Del Libertador Av.","Figueroa Alcorta, Pres. Av. & Dorrego Av.",741,1424.61,"Viernes"
478794,"Olleros Av. & Del Libertador Av.","Figueroa Alcorta, Pres. Av. & Dorrego Av.",1911,1424.61,"Lunes"
188139,"Santa Fe Av. & Bullrich, Int. Av.","Figueroa Alcorta, Pres. Av. & Dorrego Av.",524,1456.7,"Miércoles"
498500,"1981 Vidal","Figueroa Alcorta, Pres. Av. & Dorrego Av.",1763,3537.84,"Domingo"
99317,"Guemes 3330 & Coronel Diaz","Salguero, Jeronimo & Mansilla, Lucio Norberto, General",994,428.1,"Martes"
43693,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General","Salguero, Jeronimo & Mansilla, Lucio Norberto, General",2200,0,"Domingo"
425918,"3024 Calvo, Carlos","Salguero, Jeronimo & Mansilla, Lucio Norberto, General",1463,3716.73,"Martes"
498500,"Godoy Cruz  3279 y Libertador","Amenabar y Mendoza",1376,3708.79,"Martes"
23915,"Suipacha & Viamonte, 709","1413 Araoz & Gorriti CABA",2743,4316.38,"Domingo"
91633,"Olleros Av. & Del Libertador Av.","1413 Araoz & Gorriti CABA",1532,3373.08,"Miércoles"
91633,"Fitz Roy & Gorriti","1413 Araoz & Gorriti CABA",525,1345.46,"Sábado"
91633,"Juncal & Salguero, Jeronimo","1413 Araoz & Gorriti CABA",566,1610.57,"Lunes"
23915,"Juncal & Salguero, Jeronimo","1413 Araoz & Gorriti CABA",692,1610.57,"Jueves"
23915,"F.J.Santamaria de Oro & Guatemala","1413 Araoz & Gorriti CABA",577,1057.64,"Miércoles"
91633,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","1413 Araoz & Gorriti CABA",1920,4190.8,"Jueves"
425918,"2939 Cavia","2939 Cavia",369,0,"Lunes"
481240,"2939 Cavia","2939 Cavia",2445,0,"Lunes"
481240,"3822 Guemes","2939 Cavia",808,1323.9,"Sábado"
599549,"2185 Ravignani, Emilio, Dr. & Guatemala","2185 Ravignani, Emilio, Dr. & Guatemala",1955,0,"Sábado"
246986,"3508 Carcova","2185 Ravignani, Emilio, Dr. & Guatemala",1484,2685.44,"Sábado"
246986,"3508 Carcova","2185 Ravignani, Emilio, Dr. & Guatemala",2422,2685.44,"Sábado"
246986,"3508 Carcova","2185 Ravignani, Emilio, Dr. & Guatemala",1464,2685.44,"Sábado"
188139,"Amenabar y Mendoza","2185 Ravignani, Emilio, Dr. & Guatemala",1849,2799.36,"Domingo"
93576,"Triunvirato Av. & Tronador","Quintino Bocayuva y Don Bosco",2168,5140.07,"Sábado"
93576,"Triunvirato Av. & Tronador","Quintino Bocayuva y Don Bosco",2406,5140.07,"Domingo"
16756,"Reconquista 76 & Cordoba Av.","Cerrito 990 y Av. Marcelo T. De Alvear",371,912.53,"Miércoles"
93576,"Triunvirato Av. & Tronador","3508 Carcova",1654,4966.34,"Lunes"
526034,"Av. Del Libertador, 3260","3508 Carcova",1052,2118.76,"Sábado"
126204,"Maza y don Bosco","Maza y don Bosco",1618,0,"Viernes"
93576,"Cevallos, Virrey& Yrigoyen, Hipolito Av.","Peru  1016",876,1828.26,"Viernes"
30111,"Armenia 1525 y Gorriti","Zapiola & Dorrego",1102,1670.29,"Sábado"
91633,"Av. Guzman 1100 & Av. Corrientes","Zapiola & Dorrego",1195,1503.95,"Lunes"
213521,"2001 Donado","Zapiola & Dorrego",1737,3093.5,"Jueves"
6068,"2080 Austria","Fitz Roy & Gorriti",2010,3090.54,"Sábado"
122108,"3024 Calvo, Carlos","Fitz Roy & Gorriti",2077,4941.62,"Miércoles"
426508,"Cerrito & Arenales","Tucuman & 9 De Julio Av.",529,848.57,"Martes"
301804,"Calcena & Avellaneda Av.","Juana De Ibarbourou & Av Patricias Argentinas",1038,2879.37,"Miércoles"
73452,"1226 Ecuador & Mansilla, Lucio Norberto, General","Juana De Ibarbourou & Av Patricias Argentinas",1374,2893.78,"Miércoles"
301804,"Guayaquil & Doblas","Juana De Ibarbourou & Av Patricias Argentinas",1349,1742.97,"Jueves"
538693,"3024 Calvo, Carlos","3568 Estados Unidos & Boedo Av.",255,748.8,"Miércoles"
29458,"Iguazu & Uspallata","3568 Estados Unidos & Boedo Av.",1445,2172.39,"Sábado"
51564,"Ayacucho &Peron, Juan Domingo, Tte. General","Libertad & lavalle",597,1194.85,"Miércoles"
5249,"Peña & Azcuenaga","Parana & Juncal",479,812.4,"Jueves"
16756,"2300 Diaz, Cnel. Av. & French","Parana & Juncal",1349,1914.54,"Sábado"
5249,"Ayacucho 595","Parana & Juncal",570,1233.87,"Domingo"
16756,"Marcelo T. de Alvear & Rodriguez Peña","Parana & Juncal",2173,571.23,"Lunes"
6068,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General","2080 Austria",499,1129.27,"Lunes"
16756,"Uriburu Jose E., Pres. & Paraguay","Marcelo T. de Alvear & Rodriguez Peña",530,677.02,"Martes"
533495,"Av. Sarmiento 2601","Marcelo T. de Alvear & Rodriguez Peña",2066,3255.87,"Domingo"
533495,"Costa Rica & Armenia","Marcelo T. de Alvear & Rodriguez Peña",1484,3281.75,"Martes"
538693,"Mexico 1652","519 Pasteur",3008,1647.55,"Jueves"
228280,"Beruti & Ecuador","Armenia 2315 & Charcas",1636,1849.36,"Sábado"
605347,"925 Yatay& Humahuaca","684 Boulogne Sur Mer & Tucuman",1859,2055.43,"Lunes"
533495,"Cerrito 990 y Av. Marcelo T. De Alvear","Costa Rica & Armenia",1687,4066.36,"Miércoles"
23915,"Santa Fe Av. & Bullrich, Int. Av.","Costa Rica & Armenia",4692,1240.97,"Sábado"
452193,"Uriburu Jose E., Pres. & Paraguay","Costa Rica & Armenia",1126,2704.44,"Lunes"
533495,"Av. Del Libertador, 3260","Costa Rica & Armenia",664,1828.77,"Jueves"
228280,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","Costa Rica & Armenia",1188,1931.35,"Sábado"
533495,"Marcelo T. de Alvear & Rodriguez Peña","Costa Rica & Armenia",2349,3281.75,"Martes"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2449,0,"Domingo"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2634,0,"Domingo"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2972,0,"Sábado"
533495,"Costa Rica & Armenia","Costa Rica & Armenia",2741,0,"Sábado"
339543,"3024 Calvo, Carlos","708 Pasco & Chile",2361,1072.18,"Domingo"
498500,"1981 Vidal","Av. Del Libertador, 3260",2247,4312.42,"Martes"
51564,"1019 Saavedra","925 Yatay& Humahuaca",1599,3323.62,"Lunes"
363118,"Juana De Ibarbourou & Av Patricias Argentinas","925 Yatay& Humahuaca",2069,658.49,"Sábado"
188139,"780 Malabia & Loyola","925 Yatay& Humahuaca",443,847.99,"Miércoles"
599060,"o´higins 1327","925 Yatay& Humahuaca",1313,4092.55,"Sábado"
134343,"Estados Unidos & Lima","Machaca Guemes 350",996,2105.85,"Lunes"
261632,"Machaca Guemes 350","Machaca Guemes 350",3254,0,"Viernes"
425918,"2516 Pereyra Lucena","Machaca Guemes 350",2029,4121.58,"Sábado"
599060,"Cordoba 6599","o´higins 1327",1240,1638.32,"Miércoles"
599060,"2700 Pedraza, Manuela","o´higins 1327",973,2618.61,"Viernes"
599060,"Vuelta de Obligado 2004","o´higins 1327",630,999.8,"Jueves"
599060,"o´higins 1327","o´higins 1327",2901,0,"Viernes"
599060,"o´higins 1327","o´higins 1327",3108,0,"Lunes"
599060,"o´higins 1327","o´higins 1327",2866,0,"Miércoles"
14488,"Quintino Bocayuva y Don Bosco","4300 Yrigoyen, Hipolito Av.",200,438.08,"Viernes"
14488,"141 Jose Maria Moreno","4300 Yrigoyen, Hipolito Av.",1155,914.45,"Sábado"
301804,"Bartolome Mitre & Av. Puyrredon","4300 Yrigoyen, Hipolito Av.",748,2049.06,"Viernes"
599060,"Miller & Monroe","2001 Donado",1313,675.48,"Lunes"
28396,"2519 Conesa","2001 Donado",637,1575.87,"Domingo"
492921,"1540 Garcia, Juan Agustin","2001 Donado",1425,3280.34,"Viernes"
498500,"1981 Vidal","2001 Donado",2051,1671.02,"Domingo"
495592,"Calle Perú, 718","Cerrito & Arenales",1672,2607.77,"Viernes"
339543,"803 José Marmol","3024 Calvo, Carlos",450,1564.97,"Viernes"
339543,"803 José Marmol","3024 Calvo, Carlos",1161,1564.97,"Sábado"
339543,"1019 Riglos","3024 Calvo, Carlos",2170,2682.88,"Domingo"
339543,"México & Lima","3024 Calvo, Carlos",802,2540.62,"Jueves"
538693,"561 Uruguay & Av. Tucuman","3024 Calvo, Carlos",1488,2972.44,"Miércoles"
301804,"608 Doblas & Valle","J.Ramirez de Velasco 285",2963,2720.94,"Jueves"
93576,"Triunvirato Av. & Tronador","J.Ramirez de Velasco 285",1202,3423.63,"Lunes"
481240,"3822 Guemes","J.Ramirez de Velasco 285",1002,2267.63,"Miércoles"
9190,"Guayaquil & Doblas","J.Ramirez de Velasco 285",645,2200.48,"Miércoles"
134368,"Figueroa Alcorta & Sarmiento","J.Ramirez de Velasco 285",1964,3803.87,"Viernes"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",1239,1037.49,"Lunes"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",598,1037.49,"Jueves"
14488,"Av. Patricias Argentinas & Estivao","3997 TTE. GENERAL JUAN DOMINGO PERON",489,1037.49,"Sábado"
522473,"2516 Pereyra Lucena","3051 San Martin De Tours",2922,757.61,"Domingo"
522473,"2516 Pereyra Lucena","3051 San Martin De Tours",2264,757.61,"Viernes"
522473,"2939 Cavia","3051 San Martin De Tours",900,392.99,"Viernes"
522473,"Arenales y Aguero","3051 San Martin De Tours",4449,1549.2,"Domingo"
522473,"3051 San Martin De Tours","3051 San Martin De Tours",2264,0,"Sábado"
23915,"1413 Araoz & Gorriti CABA","Figueroa Alcorta & Sarmiento",1797,2655.99,"Sábado"
522473,"2939 Cavia","Figueroa Alcorta & Sarmiento",1833,697.51,"Domingo"
522473,"2939 Cavia","Figueroa Alcorta & Sarmiento",1587,697.51,"Sábado"
522473,"Figueroa Alcorta & Sarmiento","Figueroa Alcorta & Sarmiento",1014,0,"Sábado"
522473,"3051 San Martin De Tours","Figueroa Alcorta & Sarmiento",1019,924.97,"Domingo"
51564,"238 Pichincha","1590 Lavalle",802,1336.49,"Lunes"
16756,"Bernardo Irigoyen 320","1590 Lavalle",640,1280.36,"Jueves"
93576,"Triunvirato Av. & Tronador","1590 Lavalle",2408,7389.28,"Miércoles"
51564,"708 Pasco & Chile","1590 Lavalle",816,1749.29,"Viernes"
452193,"Peru  1016","1590 Lavalle",1405,2334.45,"Sábado"
426508,"2516 Pereyra Lucena","2516 Pereyra Lucena",2554,0,"Viernes"
425918,"367 Sanchez De Thompson, Mariquita","2516 Pereyra Lucena",1922,3744.34,"Sábado"
452193,"Calle Perú, 718","Uriburu Jose E., Pres. & Paraguay",1979,3011.12,"Lunes"
452193,"1413 Araoz & Gorriti CABA","Uriburu Jose E., Pres. & Paraguay",1744,2558.74,"Lunes"
16756,"Marcelo T. de Alvear & Rodriguez Peña","Uriburu Jose E., Pres. & Paraguay",527,677.02,"Martes"
229284,"Av. Gaona 2200","Av. Gaona 2200",317,0,"Sábado"
167410,"Av. Gaona 2200","Av. Gaona 2200",1548,0,"Lunes"
599549,"Av. Gaona 2200","Av. Gaona 2200",2354,0,"Sábado"
167410,"2502 Galicia","Av. Gaona 2200",695,1185.16,"Jueves"
229284,"1471 Cucha Cucha","Av. Gaona 2200",1745,1015.96,"Martes"
492921,"1540 Garcia, Juan Agustin","Av. Gaona 2200",2169,1467.17,"Jueves"
492921,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Av. Gaona 2200",1999,1491.94,"Jueves"
492921,"1355 San Martin Av.","Av. Gaona 2200",1353,1172.24,"Miércoles"
412121,"608 Doblas & Valle","Yerbal 1290",2,1684.89,"Miércoles"
301804,"Guayaquil & Doblas","Yerbal 1290",463,1582.14,"Domingo"
51564,"Avenida Rivadavia y Fray Cayetano","Saavedra & Mexico",3337,5711.47,"Miércoles"
51564,"708 Pasco & Chile","Saavedra & Mexico",2059,465.21,"Martes"
51564,"3817 Traful","Saavedra & Mexico",1317,4058.92,"Lunes"
51564,"3817 Traful","Saavedra & Mexico",1689,4058.92,"Lunes"
51564,"3817 Traful","Saavedra & Mexico",1416,4058.92,"Sábado"
51564,"3817 Traful","Saavedra & Mexico",1482,4058.92,"Viernes"
51564,"3817 Traful","Saavedra & Mexico",1504,4058.92,"Lunes"
51564,"Urquiza, Gral. & Rondeau","Saavedra & Mexico",758,2210.77,"Domingo"
51564,"1590 Lavalle","238 Pichincha",1961,1336.49,"Viernes"
51564,"3912 Humahuaca","238 Pichincha",845,2210.86,"Lunes"
51564,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.","238 Pichincha",1827,3137.12,"Viernes"
520871,"1798 Matienzo, Benjamin, Teniente","1798 Matienzo, Benjamin, Teniente",3914,0,"Lunes"
26195,"Olleros Av. & Del Libertador Av.","1798 Matienzo, Benjamin, Teniente",2960,593.24,"Jueves"
26195,"Av. Del Libertador, 3260","1798 Matienzo, Benjamin, Teniente",2851,2034.2,"Domingo"
599549,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","1798 Matienzo, Benjamin, Teniente",1879,1609.53,"Viernes"
232364,"1019 Riglos","2000 Vicente Lopez",2689,6029.41,"Lunes"
188139,"Av. Sarmiento 2601","1078 Gurruchaga",868,1914.75,"Miércoles"
93576,"Triunvirato Av. & Tronador","1078 Gurruchaga",1218,3048.22,"Lunes"
216454,"1078 Gurruchaga","1078 Gurruchaga",444,0,"Domingo"
478794,"Godoy Cruz  3279 y Libertador","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",1438,2909.7,"Domingo"
275094,"Tronador y Garcia del Rio","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",6572,3447.71,"Sábado"
498500,"2700 Pedraza, Manuela","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",1555,2042.84,"Martes"
599060,"o´higins 1327","Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",682,873.34,"Lunes"
492921,"Fitz Roy & Gorriti","2502 Galicia",2498,4626.91,"Miércoles"
328861,"Godoy Cruz  3279 y Libertador","2502 Galicia",9882,6677.82,"Lunes"
492921,"1540 Garcia, Juan Agustin","2502 Galicia",1688,1626.69,"Sábado"
9190,"J.Ramirez de Velasco 285","561 Uruguay & Av. Tucuman",1626,4418.6,"Jueves"
93576,"AZOPARDO 700","Suipacha & Viamonte, 709",630,2059.28,"Miércoles"
93576,"Triunvirato Av. & Tronador","Acevedo 220 y padilla",10789,2800.05,"Domingo"
