"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
481240,"J.Ramirez de Velasco 285","3822 Guemes",840,2267.63,"Sábado"
228280,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3822 Guemes",1683,4274.25,"Domingo"
228280,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3822 Guemes",1415,4274.25,"Sábado"
232196,"Cerrito & Arenales","3822 Guemes",1132,3132.13,"Martes"
246986,"Santa Fe Av. & Bullrich, Int. Av.","Santa Fe Av. & Bullrich, Int. Av.",2845,0,"Lunes"
99317,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General","Santa Fe Av. & Bullrich, Int. Av.",649,1634.4,"Jueves"
188139,"Figueroa Alcorta, Pres. Av. & Dorrego Av.","Santa Fe Av. & Bullrich, Int. Av.",635,1456.7,"Miércoles"
583676,"Figueroa Alcorta & Sarmiento","Santa Fe Av. & Bullrich, Int. Av.",7574,1503.59,"Domingo"
599060,"o´higins 1327","Santa Fe Av. & Bullrich, Int. Av.",1755,2140.95,"Sábado"
23915,"1413 Araoz & Gorriti CABA","F.J.Santamaria de Oro & Guatemala",744,1057.64,"Miércoles"
599549,"1483 Quinteros, Lidoro J. Av.","Santa Fe Av. & Dorrego",1098,2932.12,"Sábado"
91633,"Olleros Av. & Del Libertador Av.","Av. Sarmiento 2601",834,2348.9,"Martes"
188139,"Av. Sarmiento 2601","Av. Sarmiento 2601",1898,0,"Viernes"
93576,"Triunvirato Av. & Tronador","Av. Sarmiento 2601",1595,4190.52,"Viernes"
426508,"Av. Del Libertador, 3260","Av. Sarmiento 2601",337,856.89,"Lunes"
188139,"Lavalle & Acuña De Figueroa, Francisco","Av. Sarmiento 2601",1088,1958.05,"Miércoles"
23915,"Av. Pres. Figueroa Alcorta 2120","Av. Sarmiento 2601",7078,2804.63,"Sábado"
299996,"Delgado & Loreto, Virrey","Delgado & Loreto, Virrey",4119,0,"Sábado"
93576,"Triunvirato Av. & Tronador","Delgado & Loreto, Virrey",538,1081.44,"Lunes"
361092,"Triunvirato Av. & Tronador","Delgado & Loreto, Virrey",830,1081.44,"Sábado"
93576,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Delgado & Loreto, Virrey",1119,3279.25,"Miércoles"
17562,"Olleros Av. & Del Libertador Av.","Olleros Av. & Del Libertador Av.",11457,0,"Lunes"
91633,"1413 Araoz & Gorriti CABA","Olleros Av. & Del Libertador Av.",1153,3373.08,"Martes"
26195,"Maure 1819","Olleros Av. & Del Libertador Av.",2428,459.48,"Domingo"
525425,"2700 Pedraza, Manuela","Olleros Av. & Del Libertador Av.",1434,3236.1,"Martes"
498500,"Figueroa Alcorta & Sarmiento","Olleros Av. & Del Libertador Av.",2651,2471.03,"Martes"
538693,"Mexico 1652","Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador",3545,2982.92,"Miércoles"
93576,"1321 Villarroel & Humboldt CABA","1355 San Martin Av.",1404,1617.79,"Sábado"
93576,"Triunvirato Av. & Tronador","Arenales y Aguero",1878,5583.2,"Sábado"
43462,"Libertad & lavalle","Arenales y Aguero",1254,2468.99,"Viernes"
538693,"Mexico 1652","Mexico 1652",1684,0,"Miércoles"
538693,"Mexico 1652","Mexico 1652",1779,0,"Martes"
538693,"684 Boulogne Sur Mer & Tucuman","Mexico 1652",1009,2133.21,"Martes"
16756,"Cordoba Av. & Montevideo","1350 Posadas",719,1238.86,"Viernes"
478794,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","3050 Ugarteche",1527,4053.59,"Domingo"
495592,"Calle Perú, 718","ESMERALDA 516",796,1617.34,"Viernes"
228280,"Armenia 2315 & Charcas","Guatemala 4773",1644,386.93,"Miércoles"
30803,"Av. Guzman 1100 & Av. Corrientes","Guatemala 4773",952,2776.04,"Lunes"
93576,"1399 Moldes","Guatemala 4773",1645,3214.08,"Martes"
229284,"Av. Gaona 2200","1540 Garcia, Juan Agustin",701,1467.17,"Jueves"
492921,"Av. Gaona 2200","1540 Garcia, Juan Agustin",948,1467.17,"Jueves"
492921,"Miller & Monroe","1540 Garcia, Juan Agustin",1610,3758.69,"Viernes"
492921,"Avenida Rivadavia y Fray Cayetano","1540 Garcia, Juan Agustin",1601,3019.29,"Viernes"
492921,"Bruno Giordano&Neuquen","1540 Garcia, Juan Agustin",2347,2777.06,"Viernes"
492921,"1540 Garcia, Juan Agustin","1540 Garcia, Juan Agustin",2812,0,"Jueves"
427618,"1540 Garcia, Juan Agustin","1540 Garcia, Juan Agustin",4873,0,"Sábado"
498500,"1981 Vidal","1540 Garcia, Juan Agustin",1636,4116.81,"Martes"
492921,"Argerich & Flores, Venancio, Gral.","1540 Garcia, Juan Agustin",1373,3216.57,"Sábado"
167410,"Av. Gaona 2200","Calcena & Avellaneda Av.",1155,918.27,"Miércoles"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",757,2399.54,"Lunes"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",920,2399.54,"Viernes"
301804,"Guayaquil & Doblas","Calcena & Avellaneda Av.",1060,2399.54,"Miércoles"
301804,"Av. Rivadavia & Del Barco Centenera","Calcena & Avellaneda Av.",471,1468.02,"Miércoles"
43462,"Beruti & Ecuador","Reconquista & Corrientes Av.",1595,3004.06,"Viernes"
431678,"150 Dellepiane Y Pedro de Mendoza","Av. España 2200",1664,839.82,"Viernes"
222837,"Lavalle & Bouchard","Av. España 2200",1539,2239.32,"Martes"
495592,"Calle Perú, 718","902 Esmeralda",1553,2155.5,"Martes"
591099,"3084 Agrelo","Avenida Rivadavia y Fray Cayetano",2715,5108.69,"Domingo"
599549,"Av. Gaona 2200","Avenida Rivadavia y Fray Cayetano",1630,1762.77,"Lunes"
244527,"Lavalle & Acuña De Figueroa, Francisco","Avenida Rivadavia y Fray Cayetano",2503,5116.34,"Miércoles"
425918,"394 Rawson & Potosi","Avenida Rivadavia y Fray Cayetano",1913,4119.03,"Lunes"
495592,"367 Sanchez De Thompson, Mariquita","Calle Perú, 718",1160,2116.77,"Martes"
93576,"Triunvirato Av. & Tronador","Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha",2801,8252.26,"Jueves"
425918,"3051 San Martin De Tours","394 Rawson & Potosi",1857,4027.02,"Lunes"
599394,"Avenida Juan de Garay 1050","Avenida Juan de Garay 1050",1609,0,"Miércoles"
426508,"Parana & Juncal","Avenida Juan de Garay 1050",1144,3872.47,"Martes"
426508,"Parana & Juncal","Avenida Juan de Garay 1050",1244,3872.47,"Lunes"
426508,"Reconquista 76 & Cordoba Av.","Avenida Juan de Garay 1050",1656,3222.02,"Martes"
301804,"Calcena & Avellaneda Av.","608 Doblas & Valle",744,2504.47,"Viernes"
301804,"Calcena & Avellaneda Av.","608 Doblas & Valle",1090,2504.47,"Miércoles"
390832,"925 Yatay& Humahuaca","608 Doblas & Valle",1077,2595.2,"Martes"
301804,"Yerbal 1290","608 Doblas & Valle",568,1684.89,"Viernes"
339543,"Urquiza, Gral. & Rondeau","608 Doblas & Valle",1100,2475.67,"Viernes"
339543,"2908 Salcedo & Dean Funes","608 Doblas & Valle",864,2429.94,"Domingo"
241401,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Virasoro, Valentin & Figueroa, D Apolinario, Coronel",1694,0,"Jueves"
496666,"137 Aranguren, Juan F., Dr. & Portugal","494 Gainza, Martin De, Gral.",399,1459.19,"Miércoles"
496666,"Avenida Rivadavia y Fray Cayetano","494 Gainza, Martin De, Gral.",707,2041.4,"Miércoles"
93576,"Beruti & Ecuador","1321 Villarroel & Humboldt CABA",2195,3893.54,"Sábado"
134343,"Reconquista 76 & Cordoba Av.","Carlos H. Perette 11",12693,1877.77,"Miércoles"
498500,"GARCIA DEL RIO & PINTO","1981 Vidal",1600,2330.25,"Domingo"
498500,"Armenia 1525 y Gorriti","1981 Vidal",1822,3943.71,"Jueves"
498500,"1540 Garcia, Juan Agustin","1981 Vidal",1470,4116.81,"Martes"
599549,"1981 Vidal","1981 Vidal",1594,0,"Martes"
281961,"2001 Donado","1981 Vidal",1806,1671.02,"Viernes"
93576,"Amenabar y Mendoza","1981 Vidal",1131,335.7,"Sábado"
136738,"CARLOS PELEGRINI 215","169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",510,684.25,"Martes"
522473,"Acevedo 220 y padilla","Aguero & Mansilla, Lucio Norberto, General",1079,3117.65,"Lunes"
522473,"Delgado & Loreto, Virrey","Aguero & Mansilla, Lucio Norberto, General",1523,4862.3,"Sábado"
522473,"Delgado & Loreto, Virrey","Aguero & Mansilla, Lucio Norberto, General",1430,4862.3,"Domingo"
228280,"Zapiola & Dorrego","Aguero & Mansilla, Lucio Norberto, General",1537,3419.45,"Sábado"
599060,"Triunvirato Av. & Roosevelt Franklin D. Av.","Triunvirato Av. & Roosevelt Franklin D. Av.",2050,0,"Domingo"
498500,"1981 Vidal","Triunvirato Av. & Roosevelt Franklin D. Av.",4309,2711.93,"Domingo"
533495,"Costa Rica & Armenia","Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",1876,4719.5,"Sábado"
51564,"3817 Traful","300 Almafuerte Av. & Los Patos",463,1246.87,"Domingo"
68249,"Cevallos, Virrey& Yrigoyen, Hipolito Av.","Lima 750",670,1121.5,"Jueves"
134343,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Lima 750",787,2017.75,"Jueves"
134343,"Idependencia y Bernardo de Irigoyen","Lima 750",380715,107.33,"Viernes"
538693,"Mexico 1652","80 Larrea",449,1325.78,"Jueves"
538693,"Mexico 1652","80 Larrea",2863,1325.78,"Martes"
91633,"Lavalle & Acuña De Figueroa, Francisco","80 Larrea",1415,2200.5,"Miércoles"
51564,"Libertad & lavalle","80 Larrea",1050,1841,"Lunes"
93576,"AZOPARDO 700","80 Larrea",1168,3239.43,"Martes"
599060,"o´higins 1327","La Pampa 2512 & Ciudad de la Paz",3221,849.3,"Miércoles"
599060,"o´higins 1327","La Pampa 2512 & Ciudad de la Paz",2815,849.3,"Lunes"
599060,"o´higins 1327","La Pampa 2512 & Ciudad de la Paz",3778,849.3,"Sábado"
599060,"o´higins 1327","La Pampa 2512 & Ciudad de la Paz",2551,849.3,"Martes"
339543,"2908 Salcedo & Dean Funes","Avelino Diaz&Doblas",1045,2073.22,"Domingo"
591099,"Estados Unidos 21","3084 Agrelo",2388,3883.8,"Domingo"
93576,"Machaca Guemes 350","Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General",10849,416.34,"Miércoles"
93576,"Av. Sarmiento 2601","Triunvirato Av. & Tronador",2765,4190.52,"Viernes"
93576,"3508 Carcova","Triunvirato Av. & Tronador",1692,4966.34,"Lunes"
93576,"Miller & Monroe","Triunvirato Av. & Tronador",706,1985.72,"Martes"
555573,"Miller & Monroe","Triunvirato Av. & Tronador",1027,1985.72,"Miércoles"
93576,"J.Ramirez de Velasco 285","Triunvirato Av. & Tronador",1356,3423.63,"Lunes"
93576,"Av. Guzman 1100 & Av. Corrientes","Triunvirato Av. & Tronador",378,1113.9,"Lunes"
93576,"Delgado & Loreto, Virrey","Triunvirato Av. & Tronador",405,1081.44,"Domingo"
93576,"Quintino Bocayuva y Don Bosco","Triunvirato Av. & Tronador",2172,5140.07,"Domingo"
522473,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","Triunvirato Av. & Tronador",1781,5591.19,"Sábado"
522473,"3302 Guardia Vieja & Aguero","Triunvirato Av. & Tronador",1736,5447.31,"Domingo"
93576,"Lavalle & Acuña De Figueroa, Francisco","Triunvirato Av. & Tronador",1913,4375.58,"Lunes"
93576,"1540 Garcia, Juan Agustin","Triunvirato Av. & Tronador",1602,2020.31,"Viernes"
93576,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.","Triunvirato Av. & Tronador",1166,3157.81,"Lunes"
14488,"Quintino Bocayuva y Don Bosco","1019 Riglos",1050,2228.46,"Sábado"
339543,"2908 Salcedo & Dean Funes","1019 Riglos",834,2723.02,"Domingo"
339543,"2908 Salcedo & Dean Funes","1019 Riglos",1106,2723.02,"Lunes"
339543,"2908 Salcedo & Dean Funes","1019 Riglos",838,2723.02,"Domingo"
339543,"2908 Salcedo & Dean Funes","1019 Riglos",1026,2723.02,"Domingo"
339543,"2908 Salcedo & Dean Funes","1019 Riglos",1060,2723.02,"Sábado"
498500,"2700 Pedraza, Manuela","1483 Quinteros, Lidoro J. Av.",2086,1673.77,"Lunes"
436080,"3302 Guardia Vieja & Aguero","1483 Quinteros, Lidoro J. Av.",3276,6646.66,"Martes"
345519,"1483 Quinteros, Lidoro J. Av.","1483 Quinteros, Lidoro J. Av.",3701,0,"Domingo"
345519,"2786 Montañeses","1483 Quinteros, Lidoro J. Av.",2568,332.5,"Martes"
281961,"2001 Donado","Miller & Monroe",2632,675.48,"Sábado"
426508,"Olleros Av. & Del Libertador Av.","Vuelta de Obligado 2004",751,1753.24,"Martes"
425918,"Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera","Vuelta de Obligado 2004",3737,5837.77,"Sábado"
229284,"Av. Gaona 2200","137 Aranguren, Juan F., Dr. & Portugal",1051,2368.06,"Sábado"
229284,"Av. Gaona 2200","137 Aranguren, Juan F., Dr. & Portugal",1026,2368.06,"Sábado"
93576,"Olleros Av. & Del Libertador Av.","Cordoba 6599",1007,2455.27,"Jueves"
73452,"1355 San Martin Av.","Cordoba 6599",1777,2841.71,"Domingo"
60358,"Beruti & Ecuador","Miguel Sanchez y Av Libertadores",2297,7441.42,"Sábado"
583676,"Tronador y Garcia del Rio","Av. Guzman 1100 & Av. Corrientes",1951,4601.41,"Jueves"
164208,"Av. Guzman 1100 & Av. Corrientes","Av. Guzman 1100 & Av. Corrientes",1336,0,"Domingo"
93576,"80 Larrea","Av. Guzman 1100 & Av. Corrientes",2198,5431.71,"Martes"
498500,"Figueroa Alcorta, Pres. Av. & Dorrego Av.","Arcos & Roosevelt Franklin D.",1941,3646.76,"Domingo"
16756,"Cerrito 990 y Av. Marcelo T. De Alvear","Ing. E. Butty 291",387,1009.81,"Jueves"
431678,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Vera Peñaloza, Rosario 599 & Lanteri Julieta",1605,0,"Viernes"
431678,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Vera Peñaloza, Rosario 599 & Lanteri Julieta",1727,0,"Miércoles"
556125,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Vera Peñaloza, Rosario 599 & Lanteri Julieta",2204,0,"Lunes"
334879,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Vera Peñaloza, Rosario 599 & Lanteri Julieta",3390,0,"Miércoles"
134343,"Av. España 2200","Vera Peñaloza, Rosario 599 & Lanteri Julieta",134,363.52,"Miércoles"
496666,"2000 Vicente Lopez","1701 Fernandez Moreno, Baldomero",3292,7128.03,"Jueves"
538693,"1701 Fernandez Moreno, Baldomero","1701 Fernandez Moreno, Baldomero",1833,0,"Viernes"
538693,"1701 Fernandez Moreno, Baldomero","1701 Fernandez Moreno, Baldomero",1446,0,"Domingo"
104804,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","367 Sanchez De Thompson, Mariquita",1794,2179.39,"Sábado"
104804,"367 Sanchez De Thompson, Mariquita","367 Sanchez De Thompson, Mariquita",2543,0,"Domingo"
332488,"GARCIA DEL RIO & PINTO","GARCIA DEL RIO & PINTO",1161,0,"Jueves"
498500,"2700 Pedraza, Manuela","GARCIA DEL RIO & PINTO",484,767.8,"Viernes"
498500,"Delgado & Loreto, Virrey","GARCIA DEL RIO & PINTO",1874,3491.61,"Domingo"
583676,"2519 Conesa","GARCIA DEL RIO & PINTO",3462,1623.51,"Sábado"
583676,"GARCIA DEL RIO & PINTO","2700 Pedraza, Manuela",2647,767.8,"Domingo"
583676,"GARCIA DEL RIO & PINTO","2700 Pedraza, Manuela",629,767.8,"Sábado"
301804,"608 Doblas & Valle","2700 Pedraza, Manuela",2940,8682.86,"Miércoles"
262441,"2700 Pedraza, Manuela","2700 Pedraza, Manuela",1427,0,"Jueves"
498500,"2519 Superi","2700 Pedraza, Manuela",2563,1210.56,"Viernes"
498500,"GARCIA DEL RIO & PINTO","2519 Superi",2403,1686.55,"Viernes"
17063,"2519 Superi","2519 Superi",3160,0,"Lunes"
17063,"2519 Superi","2519 Superi",2001,0,"Lunes"
498500,"1981 Vidal","2519 Superi",1533,974.54,"Martes"
498500,"1981 Vidal","2519 Superi",2431,974.54,"Lunes"
229284,"Av. Gaona 2200","1471 Cucha Cucha",552,1015.96,"Viernes"
229284,"Av. Gaona 2200","1471 Cucha Cucha",613,1015.96,"Jueves"
229284,"Av. Gaona 2200","1471 Cucha Cucha",573,1015.96,"Miércoles"
229284,"Av. Gaona 2200","1471 Cucha Cucha",507,1015.96,"Lunes"
229284,"Av. Gaona 2200","1471 Cucha Cucha",815,1015.96,"Domingo"
229284,"Av. Gaona 2200","1471 Cucha Cucha",478,1015.96,"Martes"
522473,"367 Sanchez De Thompson, Mariquita","Villaflor, Azucena & Paine, Aime",2380,1456.44,"Lunes"
134343,"Lima 750","BRASIL&DEFENSA",582,1327.5,"Domingo"
134343,"750 Pi Y Margall & Necochea","BRASIL&DEFENSA",1257,544.33,"Domingo"
524103,"803 José Marmol","Villaflor, Azucena & Dealessi, Pierina",1828,5726.68,"Sábado"
339543,"803 José Marmol","2908 Salcedo & Dean Funes",684,2009.45,"Domingo"
339543,"608 Doblas & Valle","2908 Salcedo & Dean Funes",776,2429.94,"Jueves"
339543,"608 Doblas & Valle","2908 Salcedo & Dean Funes",1155,2429.94,"Sábado"
339543,"608 Doblas & Valle","2908 Salcedo & Dean Funes",1019,2429.94,"Domingo"
339543,"1019 Riglos","2908 Salcedo & Dean Funes",1881,2723.02,"Domingo"
339543,"1019 Riglos","2908 Salcedo & Dean Funes",814,2723.02,"Lunes"
339543,"1019 Riglos","2908 Salcedo & Dean Funes",1800,2723.02,"Domingo"
339543,"1019 Riglos","2908 Salcedo & Dean Funes",1075,2723.02,"Domingo"
339543,"1019 Riglos","2908 Salcedo & Dean Funes",2121,2723.02,"Jueves"
339543,"3568 Estados Unidos & Boedo Av.","2908 Salcedo & Dean Funes",643,1430.96,"Domingo"
339543,"2908 Salcedo & Dean Funes","2908 Salcedo & Dean Funes",1563,0,"Martes"
49475,"Av. Sarmiento 2601","Manso Juana & De La Barra, Emma",1923,5694.22,"Lunes"
104804,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","Manso Juana & De La Barra, Emma",1184,1976.96,"Viernes"
93576,"Parana & Juncal","Estados Unidos 21",1162,3470.67,"Jueves"
93576,"Moreno & Av Paseo Colon","Estados Unidos 21",213,801.47,"Jueves"
93576,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General","Estados Unidos 21",368,1572.71,"Miércoles"
93576,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General","Estados Unidos 21",520,1572.71,"Martes"
93576,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General","Estados Unidos 21",617,1572.71,"Miércoles"
93576,"Lavalle & Bouchard","Estados Unidos 21",664,1825.16,"Miércoles"
93576,"Balcarce & Yrigoyen, Hipolito Av.","Estados Unidos 21",338,1083,"Miércoles"
93576,"3051 San Martin De Tours","Estados Unidos 21",2002,5646.98,"Miércoles"
93576,"527 25 De Mayo","Estados Unidos 21",664,1875.53,"Viernes"
492921,"Andres Lamas&Remedios Escalada de San Martin","Andres Lamas&Remedios Escalada de San Martin",317,0,"Martes"
492921,"1785 Espinosa","Andres Lamas&Remedios Escalada de San Martin",2122,1134.45,"Lunes"
492921,"1540 Garcia, Juan Agustin","Andres Lamas&Remedios Escalada de San Martin",2313,878.34,"Domingo"
241071,"300 Almafuerte Av. & Los Patos","Iguazu & Uspallata",1752,569.25,"Jueves"
93576,"Triunvirato Av. & Tronador","1399 Moldes",672,2018.96,"Jueves"
361092,"Triunvirato Av. & Tronador","1399 Moldes",1596,2018.96,"Domingo"
93576,"F.J.Santamaria de Oro & Guatemala","1399 Moldes",1098,2824.73,"Martes"
498500,"Amenabar y Mendoza","1399 Moldes",2095,910.74,"Jueves"
232196,"Tucuman & 9 De Julio Av.","67 San Martin",304,1008.68,"Martes"
214323,"Culpina 121","4083 Vallese, Felipe",2017,1994.6,"Viernes"
51564,"3817 Traful","3817 Traful",629,0,"Domingo"
51564,"Saavedra & Mexico","3817 Traful",1870,4058.92,"Jueves"
51564,"Saavedra & Mexico","3817 Traful",1310,4058.92,"Domingo"
51564,"Saavedra & Mexico","3817 Traful",2108,4058.92,"Domingo"
51564,"Saavedra & Mexico","3817 Traful",1676,4058.92,"Sábado"
51564,"Saavedra & Mexico","3817 Traful",1900,4058.92,"Jueves"
51564,"Saavedra & Mexico","3817 Traful",1309,4058.92,"Domingo"
134343,"Lima 750","Idependencia y Bernardo de Irigoyen",18555,107.33,"Miércoles"
431678,"Villaflor, Azucena & Dealessi, Pierina","150 Dellepiane Y Pedro de Mendoza",1245,1386.33,"Sábado"
431678,"Av. España 2200","150 Dellepiane Y Pedro de Mendoza",767,839.82,"Viernes"
492921,"1785 Espinosa","Culpina 121",1921,3195.3,"Jueves"
412121,"2502 Galicia","Culpina 121",1271,1809.53,"Domingo"
214323,"1701 Fernandez Moreno, Baldomero","Culpina 121",777,1548.92,"Martes"
214323,"Culpina 121","Culpina 121",2301,0,"Martes"
301581,"Culpina 121","Culpina 121",1865,0,"Jueves"
